lsalary,lsales,firm_type
6.998509407,10.22538948,industrial
6.908754826,9.206131935,industrial
7.022868156,8.720280647,industrial
6.359573841,9.695602417,industrial
7.221105099,9.988894463,industrial
7.043159962,8.703075409,industrial
6.982862949,7.726080418,industrial
6.997595787,7.995239258,industrial
7.120444298,8.427311897,industrial
6.72503376,7.948031902,industrial
6.340359211,6.391582012,industrial
6.838405132,9.892072678,industrial
7.199678421,10.59780884,industrial
6.842683315,7.829550743,industrial
7.606387615,7.365559578,industrial
7.368339539,8.817890167,industrial
6.807934761,6.971950054,industrial
6.964135647,8.070875168,industrial
6.826545238,7.281178951,industrial
7.106606007,9.104424477,industrial
6.929516792,7.100274563,industrial
6.632001877,7.945980549,industrial
7.254178047,8.938662529,industrial
6.947937012,8.393509865,industrial
7.431299686,9.420844078,industrial
8.000684738,10.96235371,industrial
7.056175232,8.370941162,industrial
8.254268646,9.933240891,industrial
6.165417671,6.415587902,industrial
7.307872772,9.428005219,industrial
6.931471825,9.008101463,industrial
7.373374462,9.93590641,industrial
6.056784153,8.030117035,industrial
6.720220089,7.420039654,industrial
6.680854797,7.783723831,industrial
6.357842445,8.020796776,industrial
7.201916218,8.735878944,industrial
7.480992317,8.95259285,industrial
6.563855648,6.578556538,industrial
6.756932259,8.274178505,industrial
7.197435379,8.54774189,industrial
6.246106625,6.47574091,industrial
6.836259365,9.29514122,industrial
6.703187943,7.40968132,industrial
7.427144051,9.466144562,industrial
6.342121601,9.344521523,industrial
6.652863026,7.700883389,industrial
7.080026627,8.226252556,industrial
6.661854744,7.589183807,industrial
7.064759254,7.853992939,industrial
7.292336941,8.74974823,industrial
6.820016384,7.986334801,industrial
6.975413799,6.9778409,industrial
6.795705795,7.335633755,industrial
6.720220089,7.677307606,industrial
6.659294128,7.459338665,industrial
7.752335072,8.188355446,industrial
6.575075626,7.253894806,industrial
7.221105099,9.513256073,industrial
7.614805222,11.14212227,industrial
7.08590126,8.745921135,industrial
5.54517746,6.265871525,industrial
6.652863026,8.069530487,industrial
7.249215126,7.923999786,industrial
6.297109127,7.535349846,industrial
6.773080349,8.444213867,industrial
7.160068989,9.738081932,industrial
7.129297733,8.162487984,financial
6.774223804,8.581687927,financial
6.82979393,8.100525856,financial
6.682108402,7.857093811,financial
6.633318424,6.726712704,financial
6.396929741,8.311079025,financial
6.898714542,7.831458569,financial
7.358830929,9.255791664,financial
6.81454277,7.894467354,financial
7.215240002,7.896626949,financial
6.551080227,8.807217598,financial
6.608000755,8.492879868,financial
7.000334263,7.927360535,financial
6.859614849,7.185689926,financial
6.089045048,8.134027481,financial
6.388561249,7.559924126,financial
6.972606182,9.853272438,financial
7.168580055,8.471839905,financial
7.494430065,10.09954739,financial
8.329174995,7.892974854,financial
7.197435379,8.407601357,financial
7.467370987,9.611268044,financial
6.815639973,7.873369217,financial
7.545389652,7.885893345,financial
6.72503376,6.97840023,financial
7.040536404,7.854497433,financial
7.055312634,8.364927292,financial
7.156956196,9.807196617,financial
7.653969288,9.20476532,financial
6.946013927,9.450852394,financial
6.899723053,7.566103935,financial
7.133296013,8.004097939,financial
6.580639362,7.662561893,financial
7.208600521,8.345668793,financial
7.237778187,9.046597481,financial
7.126890659,9.411058426,financial
7.346010208,9.324864388,financial
7.673223019,8.677541733,financial
7.520776272,8.731304169,financial
6.350885868,8.023945808,financial
8.800867081,9.09896183,financial
6.86589098,8.305286407,financial
6.416732311,8.193924904,financial
7.506591797,7.493372917,financial
7.252053738,8.810325623,financial
6.933423042,7.682620525,financial
7.160068989,8.449770927,utility
6.684611797,8.123261452,utility
7.016609669,9.012498856,utility
7.396948814,8.4375,utility
7.554858685,8.848508835,utility
6.903747082,8.798303604,consumer product
6.822197437,10.30216312,consumer product
7.139660358,8.561306,consumer product
6.959398746,8.199463844,consumer product
7.10742569,11.48914433,consumer product
7.460490227,9.282065392,consumer product
8.052615166,9.23369503,consumer product
